OBJECTID,rainfall_mean,rainfall_median,rainfall_max,rainfall_min,FORMAL_EN,NAME_EN,Country Code,Maize_rainfall_mean,Rice_rainfall_mean,Sorghum_rainfall_mean,Wheat_rainfall_mean
146,1219.255556,1238.4,1470.7,1018.7,Togolese Republic,Togo,217,1238.4,1238.4,1238.4,1238.4
147,1232.5,1188.4,1530.5,839.8,Republic of Ghana,Ghana,81,1188.4,1188.4,1188.4,1188.4
148,1475.563636,1662.4,1765.6,1032,Republic of Guinea-Bissau,Guinea-Bissau,175,1662.4,1662.4,1662.4,1662.4
150,777.7863127,598.4,4008.7,20.6,United States of America,United States of America,231,1094.5,1117.9,174.6,456
151,435.1640094,334.2,3567.2,77,Canada,Canada,33,534.7,435.1640094,334.2,429.2
152,739.2205966,582.15,2585.7,27.7,United Mexican States,Mexico,138,582.15,582.15,582.15,582.15
153,1851.266667,1741.8,2412,1058.2,Belize,Belize,23,1741.8,1741.8,1741.8,1741.8
154,3394.816667,3165.6,4455.2,2239.2,Republic of Panama,Panama,166,3165.6,3165.6,3165.6,3165.6
155,2071.613559,1953.6,3744.5,366.5,Bolivarian Republic of Venezuela,Venezuela,236,1953.6,1953.6,1953.6,1953.6
156,3363.328859,3148.7,5773.8,1506.5,Independent State of Papua New Guinea,Papua New Guinea,168,3148.7,3148.7,3148.7,3148.7
157,21.49972299,6.6,188.3,1,Arab Republic of Egypt,Egypt,59,6.6,6.6,6.6,6.6
158,137.4570513,125.8,468.4,13.6,Republic of Yemen,Yemen,249,125.8,125.8,125.8,125.8
159,204.1298883,137.6,763.9,59.8,Islamic Republic of Mauritania,Mauritania,136,137.6,137.6,137.6,137.6
160,2137.822222,1954.1,2938.9,1583,Republic of Equatorial Guinea,Equatorial Guinea,61,1954.1,1954.1,1954.1,1954.1
161,793.3666667,845.2,845.2,689.7,Republic of the Gambia,The Gambia,75,845.2,845.2,845.2,845.2
162,956,956,956,956,"Hong Kong Special Administrative Region, PRC",Hong Kong,96,956,956,956,956
164,397.1168883,292.1,2467.4,17,Commonwealth of Australia,Australia,10,329.5,308.3,564.9,309.2
165,361.3043462,224.4,1764.9,1,Greenland,Greenland,85,224.4,224.4,224.4,224.4
166,2835.325,2822.5,3266.4,2429.9,Republic of Fiji,Fiji,66,2822.5,2822.5,2822.5,2822.5
167,1419.3,1416.8,1592,1254,New Caledonia,New Caledonia,153,1416.8,1416.8,1416.8,1416.8
168,1315.09598,1182.7,3040.9,205.3,Republic of Madagascar,Madagascar,129,1182.7,1182.7,1182.7,1182.7
169,2427.785556,2312.15,4662.2,1046.1,Republic of the Philippines,Philippines,171,2312.15,2312.15,2312.15,2312.15
170,1656.490909,1666.4,2213.4,1127.4,Democratic Socialist Republic of Sri Lanka,Sri Lanka,38,1666.4,1666.4,1666.4,1666.4
173,996.925,984.5,1108.7,910,Commonwealth of the Bahamas,The Bahamas,12,984.5,984.5,984.5,984.5
175,1809.14125,1709.3,3117.4,1100,Japan,Japan,110,1709.3,1709.3,1709.3,1709.3
177,753.1189189,688.2,1534.6,151.3,Republic of Iceland,Iceland,99,688.2,688.2,688.2,688.2
184,1784.3,1784.3,1784.3,1784.3,Republic of Trinidad and Tobago,Trinidad and Tobago,220,1784.3,1784.3,1784.3,1784.3
186,1731.3,1731.3,1731.3,1731.3,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,191,1731.3,1731.3,1731.3,1731.3
193,865.5,865.5,865.5,865.5,Virgin Islands of the United States,United States Virgin Islands,240,865.5,865.5,865.5,865.5
195,1665.3,1539.6,1916.7,1539.6,Commonwealth of Puerto Rico,Puerto Rico,177,1539.6,1539.6,1539.6,1539.6
198,1413.32,1366.3,1826.2,1185.7,Jamaica,Jamaica,109,1366.3,1366.3,1366.3,1366.3
203,2475,2475,2475,2475,Republic of Mauritius,Mauritius,137,2475,2475,2475,2475
204,2971,2971,2971,2971,Union of the Comoros,Comoros,45,2971,2971,2971,2971
205,1344.5,1344.5,1344.5,1344.5,Democratic Republic of São Tomé and Principe,São Tomé and Príncipe,,1344.5,1344.5,1344.5,1344.5
206,189.8,189.8,189.8,189.8,Republic of Cabo Verde,Cape Verde,35,189.8,189.8,189.8,189.8
211,1843,1843,1843,1843,Føroyar Is. (Faeroe Is.),Faroe Islands,64,1843,1843,1843,1843
215,2549.3,2549.3,2549.3,2549.3,,Cook Islands,47,2549.3,2549.3,2549.3,2549.3
218,3142.8,3142.8,3142.8,3142.8,Independent State of Samoa,Samoa,244,3142.8,3142.8,3142.8,3142.8
219,3702.236364,3692.1,4297.5,3155.2,,Solomon Islands,25,3692.1,3692.1,3692.1,3692.1
224,1588.666667,1593.2,1593.2,1579.6,South Georgia and the Islands,South Georgia and the South Sandwich Islands,,1593.2,1593.2,1593.2,1593.2
225,551.6333333,549.8,556.9,546.6,Falkland Islands,Falkland Islands,65,549.8,549.8,549.8,549.8
226,2173.85,2147.7,2402.7,1997.3,Republic of Vanuatu,Vanuatu,155,2147.7,2147.7,2147.7,2147.7
238,612.6294118,598.6,664.7,584.7,Kingdom of the Netherlands,Netherlands,150,598.6,598.6,598.6,598.6
251,1616.287705,1496.4,4733.7,681.3,New Zealand,New Zealand,156,1496.4,1496.4,1496.4,1496.4
