Country Code,Barley_Cellulose_2030,Barley_Hemicellulose_2030,Barley_Lignin_2030,Barley_Cellulose_2040,Barley_Hemicellulose_2040,Barley_Lignin_2040,Maize_Cellulose_2030,Maize_Hemicellulose_2030,Maize_Lignin_2030,Maize_Cellulose_2040,Maize_Hemicellulose_2040,Maize_Lignin_2040,Rice_Cellulose_2030,Rice_Hemicellulose_2030,Rice_Lignin_2030,Rice_Cellulose_2040,Rice_Hemicellulose_2040,Rice_Lignin_2040,Sorghum_Cellulose_2030,Sorghum_Hemicellulose_2030,Sorghum_Lignin_2030,Sorghum_Cellulose_2040,Sorghum_Hemicellulose_2040,Sorghum_Lignin_2040,Wheat_Cellulose_2030,Wheat_Hemicellulose_2030,Wheat_Lignin_2030,Wheat_Cellulose_2040,Wheat_Hemicellulose_2040,Wheat_Lignin_2040,Protein-2030,Protein-2040
115,18723775.69,9590226.571,15983710.95,18723775.69,9590226.571,15983710.95,278295.353,192666.0136,235480.6833,290940.7708,201420.5336,246180.6522,1813693.306,1209128.871,2065595.154,1817259.344,1211506.229,2069656.475,137008.776,109607.0208,666776.043,136982.0904,109585.6724,666646.1735,2146220.434,1524946.098,2033261.464,2146220.434,1524946.098,2033261.464,7712613.37,10264748.9
32,10114107.09,5180396.313,8633993.855,10114107.09,5180396.313,8633993.855,2467212.039,1708069.873,2087640.956,2454566.621,1699315.353,2076940.987,305677.7519,203785.1679,348132.9952,309243.7892,206162.5262,352194.3155,39113.29967,31290.63974,190351.3918,39139.98518,31311.98815,190481.2612,2516431.52,1787990.817,2383987.756,2516431.52,1787990.817,2383987.756,5167752.679,6540290.492
33,7374438.9,3777151.632,6295252.72,7374438.9,3777151.632,6295252.72,28323307.63,19608443.74,23965875.69,28310662.21,19599689.22,23955175.72,10117962.42,6745308.282,11523234.98,10121528.46,6747685.64,11527296.3,907430.0703,725944.0563,4416159.676,907403.3848,725922.7079,4416029.806,34848573.15,24760828.29,33014437.72,34848573.15,24760828.29,33014437.72,29430991.46,30430886.01
36,14949910.75,7657271.359,12762118.93,14949910.75,7657271.359,12762118.93,897449.3671,621311.1003,759380.2337,910094.7849,630065.6203,770080.2026,581686.7775,387791.185,662476.6077,578120.7402,385413.8268,658415.2874,32942.69567,26354.15653,160321.1189,32916.01016,26332.80813,160191.2494,1659520.406,1179132.92,1572177.227,1659520.406,1179132.92,1572177.227,5971738.897,8007907.51
37,17112189.6,8764780.04,14607966.73,17112189.6,8764780.04,14607966.73,1422034.647,984485.5251,1203260.086,1409389.23,975731.0051,1192560.117,745656.5345,497104.3563,849219.942,749222.5718,499481.7145,853281.2623,174069.457,139255.5656,847138.024,174042.7715,139234.2172,847008.1545,1330827.92,945588.2586,1260784.345,1330827.92,945588.2586,1260784.345,6920273.101,9244501.746
39,290558.0779,148822.4301,248037.3836,290558.0779,148822.4301,248037.3836,2056490.712,1423724.339,1740107.525,2043845.294,1414969.819,1729407.556,5513822.697,3675881.798,6279631.405,5517388.734,3678259.156,6283692.725,186410.9597,149128.7678,907200.004,186384.2742,149107.4194,907070.1346,7281804.295,5173913.578,6898551.437,7281804.295,5173913.578,6898551.437,5708475.615,5744962.373
40,2542095.384,1302048.855,2170081.426,2542095.384,1302048.855,2170081.426,7490293.885,5185588.074,6337940.979,7477648.467,5176833.554,6327241.01,636326.0513,424217.3675,724704.6696,632760.014,421840.0093,720643.3493,434773.9093,347819.1275,2115899.692,434747.2238,347797.7791,2115769.823,11800235.31,8384377.724,11179170.3,11800235.31,8384377.724,11179170.3,8306277.895,8646252.444
351,5578357.748,2857207.627,4762012.712,5578357.748,2857207.627,4762012.712,31644991.6,21908071.11,26776531.36,31632346.19,21899316.59,26765831.39,22684590.14,15123060.09,25835227.66,22688156.18,15125437.45,25839288.98,872929.5822,698343.6657,4248257.3,872902.8967,698322.3173,4248127.43,42612586.74,30277364.27,40369819.02,42612586.74,30277364.27,40369819.02,37569911.69,38325539.2
96,16939395.72,8676275.858,14460459.76,16939395.72,8676275.858,14460459.76,1558770.595,1079148.874,1318959.734,1571416.013,1087903.394,1329659.703,664511.5185,443007.679,756804.7849,660945.4812,440630.3208,752743.4646,8408.322021,6726.657617,40920.5005,8435.007528,6748.006022,41050.36997,604588.7173,429576.1939,572768.2585,604588.7173,429576.1939,572768.2585,6468203.953,8774990.912
128,21486630.51,11005347.33,18342245.56,21486630.51,11005347.33,18342245.56,140412.3601,97208.55702,118810.4586,153057.778,105963.077,129510.4275,91076.14054,60717.42703,103725.6045,87510.10321,58340.0688,99664.28421,21056.56687,16845.2535,102475.2921,21029.88137,16823.90509,102345.4227,12594.73472,8948.890459,11931.85394,12594.73472,8948.890459,11931.85394,7020323.609,9945486.109
44,4465526.036,2287220.653,3812034.421,4465526.036,2287220.653,3812034.421,11562519.64,8004821.286,9783670.461,11549874.22,7996066.766,9772970.492,659241.5678,439494.3785,750802.8966,655675.5304,437117.0203,746741.5763,234723.8472,187779.0778,1142322.723,234697.1617,187757.7294,1142192.854,1911866.947,1358431.778,1811242.371,1911866.947,1358431.778,1811242.371,6583990.939,7185552.056
45,51987786.81,26627890.8,44379818.01,51987786.81,26627890.8,44379818.01,523772.5533,362611.7677,443192.1605,536417.9711,371366.2877,453892.1294,138853.0507,92568.70046,158138.1966,142419.088,94946.05868,162199.5169,391946.1129,313556.8903,1907471.083,391919.4274,313535.5419,1907341.213,857228.5932,609083.4741,812111.2988,857228.5932,609083.4741,812111.2988,17626420.01,24702461.05
46,24437429.04,12516731.95,20861219.91,24437429.04,12516731.95,20861219.91,541547.7055,374917.6423,458232.6739,528902.2877,366163.1222,447532.705,297459.2977,198306.1984,338773.089,301025.335,200683.5567,342834.4093,173918.7538,139135.0031,846404.602,173892.0683,139113.6547,846274.7325,67119.02943,47689.8367,63586.44894,67119.02943,47689.8367,63586.44894,8345296.081,11665757.29
47,45409629.28,23258590.61,38764317.68,45409629.28,23258590.61,38764317.68,1402719.564,971113.5443,1186916.554,1390074.146,962359.0242,1176216.585,1538374.373,1025582.916,1752037.481,1541940.411,1027960.274,1756098.801,424126.4025,339301.122,2064081.826,424099.717,339279.7736,2063951.956,5467477.444,3884786.605,5179715.473,5467477.444,3884786.605,5179715.473,18042952.84,24215633.28
48,28880193.18,14792294.07,24653823.44,28880193.18,14792294.07,24653823.44,736858.3608,510132.7113,623495.536,724212.943,501378.1913,612795.5671,2911477.353,1940984.902,3315849.208,2915043.391,1943362.261,3319910.528,12174.94435,9739.955479,59251.39583,12148.25884,9718.607074,59121.52637,461659.4285,328021.1729,437361.5639,461659.4285,328021.1729,437361.5639,10835571.14,14760248.27
107,16583844.01,8494164.006,14156940.01,16583844.01,8494164.006,14156940.01,183123.5194,126777.8211,154950.6702,170478.1016,118023.3011,144250.7013,164258.5003,109505.6669,187072.1809,167824.5376,111883.0251,191133.5012,71054.16473,56843.33178,345796.935,71027.47922,56821.98338,345667.0656,1618827.287,1150219.388,1533625.851,1618827.287,1150219.388,1533625.851,6111432.455,8363806.099
